Species,Age,Sex,AIV,Site,Latitude,Longitude,Year,Temperature,Population_Density
AMWI,AHY,M,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
AMWI,HY,M,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
AMWI,HY,M,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
AMWI,HY,F,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
AMWI,HY,M,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
AMWI,HY,F,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,M,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,M,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,M,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,M,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,M,1,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,M,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,M,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,F,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,M,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,M,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
ABDU,HY,M,0,River Hebert,45.68333333,-64.36666667,2005,18.17857143,1.198920811
MALL,HY,F,1,East Amherst,45.85,-64.16666667,2005,18.17857143,1.198920811
MALL,HY,M,1,East Amherst,45.85,-64.16666667,2005,18.17857143,1.198920811
MALL,AHY,M,1,Tuddy's,46.23333333,-62.95,2005,20.05,2.139094222
MALL,AHY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.04285714,1.158658042
MALL,AHY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.04285714,1.158658042
MALL,AHY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.04285714,1.158658042
MALL,HY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.04285714,1.158658042
MALL,AHY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.04285714,1.158658042
MALL,AHY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.04285714,1.158658042
MALL,AHY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.04285714,1.158658042
MALL,AHY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.04285714,1.158658042
MALL,AHY,M,0,Tongue's Island,45.85,-64.26666667,2005,18.04285714,1.158658042
MALL,HY,F,1,East Amherst,45.85,-64.16666667,2005,18.04285714,1.198920811
MALL,AHY,M,1,East Amherst,45.85,-64.16666667,2005,18.04285714,1.198920811
MALL,AHY,F,0,East Amherst,45.85,-64.16666667,2005,18.04285714,1.198920811
MALL,HY,F,0,East Amherst,45.85,-64.16666667,2005,18.04285714,1.198920811
MALL,AHY,M,0,East Amherst,45.85,-64.16666667,2005,18.04285714,1.198920811
MALL,AHY,F,0,East Amherst,45.85,-64.16666667,2005,18.04285714,1.198920811
MALL,AHY,F,0,East Amherst,45.85,-64.16666667,2005,18.04285714,1.198920811
MALL,AHY,M,0,East Amherst,45.85,-64.16666667,2005,18.04285714,1.198920811
ABDU,AHY,F,1,East Amherst,45.85,-64.16666667,2005,18.04285714,1.198920811
ABDU,HY,M,1,East Amherst,45.85,-64.16666667,2005,18.04285714,1.198920811
ABDU,HY,F,0,East Amherst,45.85,-64.16666667,2005,18.04285714,1.198920811
MALL,HY,F,1,Tongue's Island,45.85,-64.26666667,2005,18.07857143,1.158658042
MALL,AHY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.07857143,1.158658042
MALL,AHY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.07857143,1.158658042
MALL,AHY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.07857143,1.158658042
MALL,AHY,F,0,Tongue's Island,45.85,-64.26666667,2005,18.07857143,1.158658042
MALL,AHY,M,0,Tongue's Island,45.85,-64.26666667,2005,18.07857143,1.158658042
MALL,AHY,F,0,Tower Goose,45.95,-64.31666667,2005,18.55714286,1.158658042
MALL,AHY,M,1,Tongue's Island,45.85,-64.26666667,2005,18.55714286,1.158658042
MALL,HY,M,0,Tongue's Island,45.85,-64.26666667,2005,18.55714286,1.158658042
MALL,HY,F,1,Missaquash Marsh,45.9,-64.21666667,2005,18.55714286,1.198920811
MALL,AHY,M,1,Missaquash Marsh,45.9,-64.21666667,2005,18.55714286,1.198920811
MALL,HY,F,0,Missaquash Marsh,45.9,-64.21666667,2005,18.55714286,1.198920811
MALL,HY,F,0,Missaquash Marsh,45.9,-64.21666667,2005,18.55714286,1.198920811
MALL,HY,F,0,Missaquash Marsh,45.9,-64.21666667,2005,18.55714286,1.198920811
MALL,AHY,M,1,Eddy Road,45.83333333,-64.21666667,2005,18.55714286,1.198920811
MALL,AHY,M,1,Eddy Road,45.83333333,-64.21666667,2005,18.55714286,1.198920811
MALL,HY,M,0,Eddy Road,45.83333333,-64.21666667,2005,18.55714286,1.198920811
MALL,AHY,M,0,Eddy Road,45.83333333,-64.21666667,2005,18.55714286,1.198920811
MALL,HY,F,1,East Amherst,45.85,-64.16666667,2005,18.55714286,1.198920811
MALL,HY,F,1,East Amherst,45.85,-64.16666667,2005,18.55714286,1.198920811
MALL,AHY,M,1,East Amherst,45.85,-64.16666667,2005,18.55714286,1.198920811
MALL,AHY,M,1,East Amherst,45.85,-64.16666667,2005,18.55714286,1.198920811
MALL,AHY,M,0,East Amherst,45.85,-64.16666667,2005,18.55714286,1.198920811
MALL,AHY,F,0,Tongue's Island,45.85,-64.26666667,2005,18.4,1.158658042
MALL,HY,F,1,Missaquash Marsh,45.9,-64.21666667,2005,18.4,1.198920811
MALL,AHY,M,1,Missaquash Marsh,45.9,-64.21666667,2005,18.4,1.198920811
MALL,AHY,M,1,Eddy Road,45.83333333,-64.21666667,2005,18.4,1.198920811
MALL,HY,M,1,Eddy Road,45.83333333,-64.21666667,2005,18.4,1.198920811
MALL,AHY,M,1,Eddy Road,45.83333333,-64.21666667,2005,18.4,1.198920811
MALL,HY,F,0,East Amherst,45.85,-64.16666667,2005,18.4,1.198920811
MALL,HY,M,1,East Amherst,45.85,-64.16666667,2005,18.4,1.198920811
MALL,AHY,M,1,Amherst Point,45.78333333,-64.25,2005,18.4,1.198920811
MALL,AHY,M,1,Amherst Point,45.78333333,-64.25,2005,18.4,1.198920811
MALL,AHY,M,0,Amherst Point,45.78333333,-64.25,2005,18.4,1.198920811
MALL,AHY,F,0,Amherst Point,45.78333333,-64.25,2005,18.4,1.198920811
MALL,HY,M,0,Tower Goose,45.95,-64.31666667,2005,18.26428571,1.158658042
MALL,AHY,F,0,Tongue's Island,45.85,-64.26666667,2005,18.26428571,1.158658042
MALL,HY,M,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,F,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,F,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,F,1,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,F,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,F,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,F,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,F,0,Port Rowan (Big Creek),42.3,-80.2,2005,21.99285714,1.406508401
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,0,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
ABDU,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
NOPI,AHY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,0,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,0,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,0,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,0,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,0,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,M,0,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,0,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MBDH,AHY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
ABDU,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
ABDU,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
ABDU,AHY,M,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
ABDU,HY,F,1,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
ABDU,HY,M,0,Lac Saint-Pierre,46.151333,-72.729778,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,0,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,0,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,0,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
ABDU,HY,M,0,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
ABDU,HY,M,0,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
ABDU,HY,F,0,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,F,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
MALL,HY,M,1,Lac Saint-Pierre,46.152306,-72.726167,2005,20.10714286,0.956343211
